Date,USCrude,U.S. less Alaskan North Slope Crude Oil First Purchase Price (Dollars per Barrel),East Coast (PADD 1) Crude Oil First Purchase Price (Dollars per Barrel),New York Crude Oil First Purchase Price (Dollars per Barrel),Pennsylvania Crude Oil First Purchase Price (Dollars per Barrel),West Virginia Crude Oil First Purchase Price (Dollars per Barrel),Midwest (PADD 2) Crude Oil First Purchase Price (Dollars per Barrel),Illinois Crude Oil First Purchase Price (Dollars per Barrel),Indiana Crude Oil First Purchase Price (Dollars per Barrel),Kansas Crude Oil First Purchase Price (Dollars per Barrel),Kentucky Crude Oil First Purchase Price (Dollars per Barrel),Michigan Crude Oil First Purchase Price (Dollars per Barrel),Nebraska Crude Oil First Purchase Price (Dollars per Barrel),North Dakota Crude Oil First Purchase Price (Dollars per Barrel),Ohio Crude Oil First Purchase Price (Dollars per Barrel),Oklahoma Crude Oil First Purchase Price (Dollars per Barrel),South Dakota Crude Oil First Purchase Price (Dollars per Barrel),Gulf Coast (PADD 3) Crude Oil First Purchase Price (Dollars per Barrel),Alabama Crude Oil First Purchase Price (Dollars per Barrel),Arkansas Crude Oil First Purchase Price (Dollars per Barrel),Louisiana Crude Oil First Purchase Price (Dollars per Barrel),Mississippi Crude Oil First Purchase Price (Dollars per Barrel),New Mexico Crude Oil First Purchase Price (Dollars per Barrel),Texas Crude Oil First Purchase Price (Dollars per Barrel),Federal Offshore U.S. Gulf Coast Crude Oil First Purchase Price (Dollars per Barrel),Rocky Mountain (PADD 4) Crude Oil First Purchase Price (Dollars per Barrel),Colorado Crude Oil First Purchase Price (Dollars per Barrel),Montana Crude Oil First Purchase Price (Dollars per Barrel),Utah Crude Oil First Purchase Price (Dollars per Barrel),Wyoming Crude Oil First Purchase Price (Dollars per Barrel),West Coast (PADD 5) Crude Oil First Purchase Price (Dollars per Barrel),Alaska North Slope First Purchase Price (Dollars per Barrel),Alaska Other Crude Oil First Purchase Price (Dollars per Barrel),California Crude Oil First Purchase Price (Dollars per Barrel),Federal Offshore California Crude Oil First Purchase Price (Dollars per Barrel)
Jan-2000,23.53,24.32,24.95,,25.77,24.02,25.17,24.36,24.7,24.84,23.38,25.17,24.68,24.97,24.11,25.73,25.44,25.13,24.42,23.69,26.04,22.82,25.44,25.27,24.8,24.51,25.49,24.41,25.2,24.05,21.01,20.54,,21.55,19.58
Feb-2000,25.48,26.36,26.23,,,,27.43,27.38,26.83,27.2,25.7,27.51,27.25,27.41,26.29,27.72,27.78,27.07,26.57,26.13,28.37,25.1,27.88,27.62,26.03,26.92,27.78,27.05,27.41,26.48,22.72,22.12,,23.52,21.79
Mar-2000,26.19,27.12,28.09,,,,28.31,28.09,27.47,28.1,26.54,28.32,28.07,28.04,27.68,28.74,28.38,27.78,27.5,26.85,28.95,25.71,28.59,28.42,26.66,27.75,28.7,27.66,28.64,27.24,23.32,22.54,,24.35,22.68
Apr-2000,23.2,23.54,23.92,,,,24.11,23.91,23.29,23.59,22.25,23.88,23.67,23.75,22.97,24.77,23.83,24.37,23.77,21.82,24.82,21.76,24.51,24.51,24.3,23.35,24.34,23.31,23.91,22.9,21.46,21.89,,21.18,18.3
May-2000,25.58,26.19,26.76,,27.62,,27.28,26.72,26.2,26.91,25.16,28.18,26.56,26.95,25.87,27.91,27.86,26.82,26.04,25.7,27.44,25.02,27.37,27.26,26.18,26.65,27.99,26.75,27.15,26.06,23.23,22.81,,23.7,21.9
Jun-2000,27.62,28.13,28.95,,29.6,,29.54,29.31,28.79,29.33,27.66,29.33,28.86,29.27,28.27,30.08,29.26,28.58,28.51,28.16,29.92,27.39,29.47,29.3,27.31,28.88,30.19,28.63,29.79,28.31,25.55,25.3,28.9,25.86,24.27
Jul-2000,26.81,27.59,28,,28.75,,28.4,27.95,27.58,28.07,26.43,28.1,27.78,28.04,27.29,29.01,27.91,28.24,27.24,26.91,28.92,26.03,28.85,28.53,27.78,27.79,29.19,27.68,28.62,27.19,24.05,23.03,,25.21,23.4
Aug-2000,27.91,28.55,28.58,,28.97,,29.44,28.99,28.71,29.1,27.45,28.5,28.88,29.1,27.74,30.21,29.07,29.2,28.49,27.84,30.06,27.34,29.64,29.64,28.48,28.8,30.07,28.92,29.46,28.21,25.75,25.37,,26.31,24.47
Sep-2000,29.72,30.51,31.53,,32.32,,31.68,31.6,31.31,31.29,30.17,30.49,30.8,31.57,31.35,32.16,31.22,31.12,30.7,30.57,31.88,29.53,31.94,31.87,29.91,30.68,31.14,30.89,31.71,30.22,27.23,26.34,,28.12,27.41
Oct-2000,29.65,30.29,30.77,,31.52,,31.08,30.7,30.49,30.82,28.61,29.52,30.42,30.86,29.84,31.82,29.06,31.06,30.35,29.66,31.74,28.98,31.43,31.23,30.78,29.81,31.57,30.22,31.25,28.76,27.43,27.04,,27.79,27.43
